interation,train_acc,test_acc,train_loss,test_loss,adv_source_acc,adv_target_acc
1190,0.9857364296913147,0.9860017895698547,4.658066643514758e-07,4.5405991500047094e-07,0.0,0.0
1200,0.9860680103302002,0.9863333702087402,4.6437790501840936e-07,4.525911947439454e-07,0.0,0.0
1210,0.9861343502998352,0.9864699244499207,4.6324294089572504e-07,4.5176687990533537e-07,0.0,0.0
1220,0.9861694574356079,0.9864464998245239,4.632226193734823e-07,4.518970229128172e-07,0.0,0.0
1230,0.986079752445221,0.9862514734268188,4.6498851702381216e-07,4.5369563395070145e-07,0.0,0.0
1240,0.9859861135482788,0.9861382842063904,4.6611631887572e-07,4.5520161506829027e-07,0.0,0.0
1250,0.9858339428901672,0.9861187934875488,4.641090924906166e-07,4.5269831616678857e-07,0.0,0.0
1260,0.9853267669677734,0.9857013821601868,4.6638052708658506e-07,4.5381517566056573e-07,0.0,0.0
1270,0.9853306412696838,0.9857130646705627,4.6675398834850057e-07,4.540877398540033e-07,0.0,0.0
1280,0.9854984283447266,0.985845685005188,4.63924351379319e-07,4.5191148956291727e-07,0.0,0.0
1290,0.9860485196113586,0.986356794834137,4.633220669347793e-07,4.5250769176163885e-07,0.0,0.0
1300,0.9862709045410156,0.9864309430122375,4.6763051386733423e-07,4.576519643251231e-07,0.0,0.0
1310,0.986196756362915,0.9863684773445129,4.665215556087787e-07,4.5636721779374056e-07,0.0,0.0
